Characteristic,IRI,Value
Structural characteristic,StructuralCharacteristic,3.2857142857142856
Domain coverage characteristic,DomainCoverageCharacteristic,NaN
Formal relation support characteristic,FormalRelationSupportCharacteristic,1.0
Tangledness characteristic,TanglednessCharacteristic,1.0
Cohesion characteristic,CohesionCharacteristic,5.0
Redundancy characteristic,RedundancyCharacteristic,5.0
Structural accuracy characteristic,StructuralAccuracyCharacteristic,1.0
Consistency characteristic,ConsistencyCharacteristic,5.0
Cycles characteristic,CyclesCharacteristic,NaN
Formalisation characteristic,FormalisationCharacteristic,5.0
Maintainability characteristic,MaintainabilityCharacteristic,3.607936507936508
Modification stability characteristic,ModificationStabilityCharacteristic,3.4
Reusability characteristic,ReusabilityCharacteristic,2.8333333333333335
Changeability characteristic,ChangeabilityCharacteristic,3.7142857142857144
Testability characteristic,TestabilityCharacteristic,3.2
Modularity characteristic,ModularityCharacteristic,5.0
Analysability characteristic,AnalysabilityCharacteristic,3.5
Operability characteristic,OperabilityCharacteristic,3.0370370370370368
Helpfulness characteristic,HelpfulnessCharacteristic,3.0
Learnability characteristic,LearnabilityCharacteristic,3.0
Ease of use characteristic,EaseOfUseCharacteristic,3.111111111111111
Appropriateness recognisability characteristic,AppropriatenessRecognisabilityCharacteristic,NaN
Reliability characteristic,ReliabilityCharacteristic,3.625
Recoverability characteristic,RecoverabilityCharacteristic,2.25
Availability characteristic,AvailabilityCharacteristic,5.0
Quality in use characteristic,QualityInUseCharacteristic,3.111111111111111
Usability in use characteristic,UsabilityInUseCharacteristic,3.111111111111111
Effectiveness in use characteristic,EffectivenessInUseCharacteristic,NaN
Efficiency in use characteristic,EfficiencyInUseCharacteristic,3.111111111111111
Satisfaction in use characteristic,SatisfactionInUseCharacteristic,NaN
Emotional satisfaction characteristic,EmotionalSatisfactionCharacteristic,NaN
Physical satisfaction characteristic,PhysicalSatisfactionCharacteristic,NaN
Cognitive satisfaction characteristic,CognitiveSatisfactionCharacteristic,NaN
Flexibility in use characteristic,FlexibilityInUseCharacteristic,NaN
Context extendibility in use characteristic,ContextExtendibilityInUseCharacteristic,NaN
Context conformity in use characteristic,ContextConformityInUseCharacteristic,NaN
Functional adequacy characteristic,FunctionalAdequacyCharacteristic,3.3056659027247264
Controlled vocabulary characteristic,ControlledVocabularyCharacteristic,2.3333333333333335
Text analysis characteristic,TextAnalysisCharacteristic,2.8636363636363638
Clustering characteristic,ClusteringCharacteristic,5.0
Results representation characteristic,ResultsRepresentationCharacteristic,3.0
Similarity characteristic,SimilarityCharacteristic,3.0
Knowledge acquisition representation characteristic,KnowledgeAcquisitionRepresentationCharacteristic,2.3333333333333335
Consistent search and query characteristic,ConsistentSearchAndQueryCharacteristic,4.2
Indexing and linking characteristic,IndexingAndLinkingCharacteristic,3.1666666666666665
Knowledge reuse characteristic,KnowledgeReuseCharacteristic,3.3823529411764706
Reference ontology characteristic,ReferenceOntologyCharacteristic,3.0
Classifying instances characteristic,ClassifyingInstancesCharacteristic,NaN
Inference characteristic,InferenceCharacteristic,2.3333333333333335
Guidance characteristic,GuidanceCharacteristic,5.0
Schema and value reconciliation characteristic,SchemaAndValueReconciliationCharacteristic,3.6666666666666665
Decision trees characteristic,DecisionTreesCharacteristic,3.0
Precision characteristic,PrecisionCharacteristic,NaN
Compatibility characteristic,CompatibilityCharacteristic,3.75
Replaceability characteristic,ReplaceabilityCharacteristic,3.75
Interoperability characteristic,InteroperabilityCharacteristic,NaN
Transferability characteristic,TransferabilityCharacteristic,3.75
Portability characteristic,PortabilityCharacteristic,NaN
Adaptability characteristic,AdaptabilityCharacteristic,3.75
