Characteristic,IRI,Value
Structural characteristic,StructuralCharacteristic,3.0
Domain coverage characteristic,DomainCoverageCharacteristic,NaN
Formal relation support characteristic,FormalRelationSupportCharacteristic,1.0
Tangledness characteristic,TanglednessCharacteristic,1.0
Cohesion characteristic,CohesionCharacteristic,5.0
Redundancy characteristic,RedundancyCharacteristic,3.0
Structural accuracy characteristic,StructuralAccuracyCharacteristic,1.0
Consistency characteristic,ConsistencyCharacteristic,5.0
Cycles characteristic,CyclesCharacteristic,NaN
Formalisation characteristic,FormalisationCharacteristic,5.0
Maintainability characteristic,MaintainabilityCharacteristic,3.607936507936508
Modification stability characteristic,ModificationStabilityCharacteristic,3.4
Reusability characteristic,ReusabilityCharacteristic,2.8333333333333335
Changeability characteristic,ChangeabilityCharacteristic,3.7142857142857144
Testability characteristic,TestabilityCharacteristic,3.2
Modularity characteristic,ModularityCharacteristic,5.0
Analysability characteristic,AnalysabilityCharacteristic,3.5
Operability characteristic,OperabilityCharacteristic,2.5117283950617284
Helpfulness characteristic,HelpfulnessCharacteristic,2.6
Learnability characteristic,LearnabilityCharacteristic,2.75
Ease of use characteristic,EaseOfUseCharacteristic,2.185185185185185
Appropriateness recognisability characteristic,AppropriatenessRecognisabilityCharacteristic,NaN
Reliability characteristic,ReliabilityCharacteristic,3.625
Recoverability characteristic,RecoverabilityCharacteristic,2.25
Availability characteristic,AvailabilityCharacteristic,5.0
Quality in use characteristic,QualityInUseCharacteristic,2.185185185185185
Usability in use characteristic,UsabilityInUseCharacteristic,2.185185185185185
Effectiveness in use characteristic,EffectivenessInUseCharacteristic,NaN
Efficiency in use characteristic,EfficiencyInUseCharacteristic,2.185185185185185
Satisfaction in use characteristic,SatisfactionInUseCharacteristic,NaN
Emotional satisfaction characteristic,EmotionalSatisfactionCharacteristic,NaN
Physical satisfaction characteristic,PhysicalSatisfactionCharacteristic,NaN
Cognitive satisfaction characteristic,CognitiveSatisfactionCharacteristic,NaN
Flexibility in use characteristic,FlexibilityInUseCharacteristic,NaN
Context extendibility in use characteristic,ContextExtendibilityInUseCharacteristic,NaN
Context conformity in use characteristic,ContextConformityInUseCharacteristic,NaN
Functional adequacy characteristic,FunctionalAdequacyCharacteristic,2.8545709192768016
Controlled vocabulary characteristic,ControlledVocabularyCharacteristic,1.6666666666666667
Text analysis characteristic,TextAnalysisCharacteristic,1.9090909090909092
Clustering characteristic,ClusteringCharacteristic,3.0
Results representation characteristic,ResultsRepresentationCharacteristic,3.0
Similarity characteristic,SimilarityCharacteristic,3.0
Knowledge acquisition representation characteristic,KnowledgeAcquisitionRepresentationCharacteristic,1.6666666666666667
Consistent search and query characteristic,ConsistentSearchAndQueryCharacteristic,3.8
Indexing and linking characteristic,IndexingAndLinkingCharacteristic,2.3333333333333335
Knowledge reuse characteristic,KnowledgeReuseCharacteristic,2.588235294117647
Reference ontology characteristic,ReferenceOntologyCharacteristic,3.0
Classifying instances characteristic,ClassifyingInstancesCharacteristic,NaN
Inference characteristic,InferenceCharacteristic,2.3333333333333335
Guidance characteristic,GuidanceCharacteristic,5.0
Schema and value reconciliation characteristic,SchemaAndValueReconciliationCharacteristic,3.6666666666666665
Decision trees characteristic,DecisionTreesCharacteristic,3.0
Precision characteristic,PrecisionCharacteristic,NaN
Compatibility characteristic,CompatibilityCharacteristic,3.75
Replaceability characteristic,ReplaceabilityCharacteristic,3.75
Interoperability characteristic,InteroperabilityCharacteristic,NaN
Transferability characteristic,TransferabilityCharacteristic,3.75
Portability characteristic,PortabilityCharacteristic,NaN
Adaptability characteristic,AdaptabilityCharacteristic,3.75
